is_remote,is_fulltime,exp_encoded,title_encoded,has_skills,views,applies,apply_rate,skill_python,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_machine_learning,skill_aws,skill_spark,skill_r_programming,skill_statistics,target,target_encoded,salary_final,title,company_name
1,1,1,6,0,25.0,5.0,0.1923,0,0,0,0,0,0,0,0,0,0,High,2,155000.0,Technical Product and IT Manager for Data Center Dedicated Server Leasing,Unknown Company
0,1,1,8,0,3.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,Low,0,35000.0,Accounts Analyst,McNaughton Bros. Inc.
0,0,1,0,0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,Mid,1,70000.0,Technical Business Analyst,CapAcuity
0,1,1,8,0,24.0,1.0,0.04,0,0,1,0,0,0,0,0,0,0,Low,0,45760.0,Receptionist/Data Entry,PB Built
1,1,1,2,0,38.0,18.0,0.4615,0,0,0,0,0,0,0,0,0,0,High,2,216320.0,Senior Data Engineer/Analyst - Full Time,Unknown Company
0,1,1,8,0,32.0,1.0,0.0303,0,0,1,0,0,0,0,0,0,0,Mid,1,60000.0,Data Processor,MDI Imaging & Mail
0,1,1,7,0,12.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,High,2,250000.0,Senior Machine Learning Research Engineer,Symbolica AI
0,0,1,8,0,34.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,High,2,135200.0,EV/Cash Flow Analyst,"Smith & Associates, LLC."
0,1,1,8,0,25.0,8.0,0.3077,0,0,1,0,0,0,0,0,0,0,Low,0,33280.0,Data Entry Specialist,Acro Service Corp
0,1,1,8,0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,119600.0,Battery R&D Scientist,NextGen Battery Technologies
0,1,3,2,0,40.0,11.0,0.2683,1,1,0,0,0,0,1,1,0,0,High,2,120000.0,Azure Data Engineer (Full time),Publicis Sapient
0,1,1,8,0,13.0,7.0,0.5,0,1,1,0,0,0,1,0,0,0,Mid,1,97500.0,Database Administrator (BOCA RATON),Ledgent Technology
1,0,1,8,0,41.0,13.0,0.3095,0,1,0,0,0,0,0,0,0,0,Mid,1,87360.0,Data Management Analyst,EPITEC
0,1,3,9,0,40.0,13.0,0.3171,1,1,0,1,1,0,0,0,0,1,Mid,1,91500.0,"Senior Analyst, Data & Analytics",Quigley-Simpson
0,1,3,8,0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,82500.0,Banking Operations Systems Analyst,Fortis Bank
0,0,2,8,0,7.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,Low,0,57959.2,HRIS & People Data Administrator,Corps Team
0,1,2,8,0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,Mid,1,92500.0,Fair Lending Compliance Analyst,Partnership Employment
0,0,2,5,0,18.0,3.0,0.1579,0,0,1,0,0,0,1,0,0,1,Low,0,59800.0,Financial Analyst,Aya Healthcare
0,1,1,8,0,22.0,7.0,0.3043,0,0,0,0,0,0,0,0,0,0,Low,0,55000.0,Renewable Energy Administrative Data Coordinator,Virginia Department of Environmental Quality
0,1,1,8,0,2.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,Low,0,52500.0,Index Bond Pricing Analyst,Dexian
0,1,3,8,0,34.0,4.0,0.1143,0,0,0,0,0,0,0,0,0,0,Mid,1,118560.0,HRIS Analyst,Vaco
0,0,1,8,0,27.0,8.0,0.2857,0,0,1,0,0,0,0,0,0,0,Mid,1,64480.0,Intern: Truck Financial Services Sales Support Analyst (Summer 2024),Volvo Financial Services
1,0,3,8,0,149.0,22.0,0.1467,0,0,0,0,0,0,0,0,0,0,Mid,1,93600.0,Workforce Strategy and Analytics Consultant (321719),"IDR, Inc."
1,1,2,8,0,1179.0,297.0,0.2517,0,0,1,0,0,0,0,0,0,0,Mid,1,75737.5,Inventory Analyst,Babylist
0,1,3,9,0,40.0,6.0,0.1463,0,0,0,0,0,0,0,0,0,0,Mid,1,62400.0,Senior Associate Research Scientist II,Planet Pharma
1,0,3,1,0,258.0,61.0,0.2355,0,1,1,0,0,0,1,0,0,0,Mid,1,114400.0,"Senior Data Analyst - AI Training (Remote, Contract)",Outlier
0,1,3,9,0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,112500.0,Senior Business Systems Analyst,TeamSoft
0,1,3,8,0,16.0,2.0,0.1176,1,0,0,0,0,1,0,0,0,0,High,2,190000.0,Data Team Lead,Storm2
0,1,3,8,0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,74620.0,Budget Analyst,Maricopa County
0,1,2,8,0,83.0,30.0,0.3571,0,1,1,0,0,0,0,0,0,1,Mid,1,63500.0,Business Intelligence Analyst,Insight Global
0,1,3,8,0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,High,2,122500.0,Fraud Prevention Officer (Data Position),Social Capital Resources
0,1,2,8,0,19.0,3.0,0.15,1,1,1,0,0,0,0,0,0,1,Mid,1,85596.92,Performance Management Analyst,Chicago Transit Authority
0,0,3,0,0,26.0,8.0,0.2963,0,0,1,0,0,0,0,0,0,0,Mid,1,70833.0,Business Analyst,Metropolitan Transportation Authority
0,1,2,7,0,5.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,Mid,1,70000.0,Anti-Money Laundering Analyst (AML),Forrest Solutions
1,1,3,9,0,40.0,9.0,0.2195,0,0,1,0,0,0,1,0,0,0,Mid,1,81370.0,"Senior Government Operations Analyst, Tariffs",Lumen Technologies
0,1,3,9,0,39.0,9.0,0.225,1,1,0,0,0,0,0,0,0,1,Mid,1,107500.0,Senior Risk Analytics Associate,Social Capital Resources
0,1,1,9,0,251.0,37.0,0.1468,0,0,0,0,0,0,1,0,0,0,High,2,150000.0,Senior Scientist I (Assay Development),GigaGen Inc
0,1,2,8,0,24.0,1.0,0.04,0,0,0,1,0,0,1,0,0,0,Mid,1,108000.0,Budget Analyst,Texas Department of Information Resources
1,1,3,8,0,123.0,22.0,0.1774,0,0,0,0,0,0,0,0,0,0,Mid,1,118560.0,HRIS Analyst | Remote,Vaco
0,1,1,8,0,20.0,3.0,0.1429,1,1,1,0,0,0,1,0,0,0,Mid,1,60000.0,Technical Analyst,Inductive Automation
1,0,3,8,0,130.0,26.0,0.1985,0,0,0,0,0,0,0,0,0,0,High,2,169520.0, Information Technology Epic Beaker Application Analyst 2,Smart IT Frame LLC
1,0,2,8,0,88.0,27.0,0.3034,0,0,1,0,0,0,0,0,0,0,Mid,1,109200.0,Business System Analyst IT Applications -merchandise planning,TekWissen ®
1,1,3,2,0,260.0,102.0,0.3908,0,1,0,1,0,0,0,0,0,0,Mid,1,110000.0,Data Engineer,Robert Half
0,1,3,0,0,30.0,7.0,0.2258,0,0,1,0,0,0,0,0,0,0,Mid,1,115510.0,Business Analyst III,L.A. Care Health Plan
0,1,3,8,0,5.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,High,2,121794.0,Sr Programmer Analyst Oracle EBS,CooperVision
0,1,1,8,0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,64450.0,Measurement Tech Analyst,Evergy
0,0,3,8,0,52.0,5.0,0.0943,0,0,1,0,0,0,0,0,0,0,Mid,1,72800.0,Ethics Program Analyst,VeeAR Projects Inc.
0,1,3,6,0,22.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,Mid,1,109387.2,Hybrid - Data & Analytics Manager (Information Technology Manager 1),Ohio Department of Mental Health & Addiction Services
0,1,3,8,0,2.0,0.0,0.0,0,1,0,1,1,0,0,0,0,0,High,2,130000.0,Data Warehouse Architect,Pikemann
0,1,3,0,0,49.0,15.0,0.3,0,0,0,0,0,0,0,0,0,0,Mid,1,100445.0,Business Analyst II,L.A. Care Health Plan
0,1,3,6,0,22.0,4.0,0.1739,0,1,1,0,0,0,0,0,0,1,High,2,156880.435,Manager of Health Analytics,Partnership HealthPlan of California
0,1,3,9,0,51.0,4.0,0.0769,0,0,0,0,0,0,1,0,0,1,High,2,183500.0,"Senior Manager, Data and Science",Verana Health
1,0,2,8,0,243.0,61.0,0.25,0,0,1,0,0,0,0,0,0,0,Low,0,39520.0,Database Administrator,Indotronix Avani Group
0,0,3,1,0,186.0,72.0,0.385,0,0,1,0,0,0,0,0,0,0,Mid,1,80080.0,Data Analyst - Expert with Excel,OpTech
1,0,1,8,0,200.0,74.0,0.3682,0,0,1,1,1,0,0,0,0,0,Mid,1,93600.0,Marketing Analyst,24 Seven Talent
0,0,3,0,0,247.0,68.0,0.2742,0,0,1,0,0,0,0,0,0,0,High,2,135200.0,Business Analyst,Apex Systems
0,1,3,8,0,60.0,7.0,0.1148,1,0,1,0,0,0,1,0,0,0,High,2,210000.0,Sr. Embedded Site Reliability Engineer (Samsung Ads),Samsung Electronics America
0,1,3,8,0,29.0,1.0,0.0333,0,0,1,0,0,0,0,0,0,0,Mid,1,88000.0,"Application Scientist II, Technical Services",Exact Sciences
0,1,3,8,0,33.0,6.0,0.1765,0,0,1,1,0,0,0,0,0,0,Mid,1,105000.0,Embedded Threat Analyst Team Leader,Sibylline Ltd
0,0,1,8,0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,63336.0,Cable Technician Data center technician,Experis
0,0,2,8,0,54.0,12.0,0.2182,1,1,1,1,0,1,0,0,0,1,High,2,120640.0,Business Intelligence Engineer II ,TekWissen ®
0,0,1,8,0,22.0,2.0,0.087,0,0,0,0,0,0,0,0,0,0,Mid,1,83200.0,Analytical Scientist II,"Yoh, A Day & Zimmermann Company"
0,0,2,8,0,63.0,14.0,0.2188,1,1,1,1,0,0,0,0,0,0,High,2,120640.0,Business Intelligence Engineer II ,TekWissen ®
0,1,1,8,0,53.0,5.0,0.0926,0,0,1,0,0,0,1,0,0,0,Mid,1,69000.0,Sales Operations Analyst,MUNICIPAL CO.
0,1,1,8,0,6.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,Mid,1,79872.0,"IT Analyst Principle Trainer, Revenue Cycle (EMR) Training",UVA Health
0,1,1,0,0,30.0,1.0,0.0323,0,1,1,0,0,0,0,0,0,0,High,2,155000.0,Oracle Business Analyst,Calfus Inc.
0,0,3,8,0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,Mid,1,72800.0,Credit Collection Analyst,"First Tek, Inc."
1,1,3,8,0,13.0,2.0,0.1429,0,0,1,0,0,0,0,0,0,0,Mid,1,76788.0,Procurement Analyst,California Department of Managed Health Care
0,1,1,8,0,21.0,2.0,0.0909,0,0,0,0,0,0,0,0,0,0,Mid,1,110232.15,DNA Analyst,"Adams County Sheriff's Office, Colorado"
0,1,3,5,0,20.0,2.0,0.0952,0,1,1,0,0,0,0,0,0,0,Mid,1,82500.0,Financial Analyst,Himalayan Dog Chew
0,0,3,1,0,143.0,44.0,0.3056,0,1,1,1,0,1,1,0,0,0,Mid,1,83200.0,Data Analyst,Acro Service Corp
0,0,3,1,0,12.0,1.0,0.0769,1,0,0,0,0,1,0,0,0,1,Mid,1,60555.0,Research Data Analyst 1 (75% FTE/Hybrid Opportunity),Stanford University
0,1,3,2,0,10.0,0.0,0.0,1,1,0,0,0,1,1,0,0,0,High,2,199500.0,Chief Data Engineer,Noblis
0,1,3,8,0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Low,0,57336.0,STAFF SERVICES ANALYST,Employment Development Department
0,1,1,9,0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,101000.0,Business Relations Senior Analyst,Deloitte
0,1,3,8,0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,82500.0,Scientist (Immunology),Piper Companies
0,1,3,8,0,6.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,High,2,135200.0,Data Reporting Team Lead,Piper Companies
0,1,1,2,0,17.0,2.0,0.1111,1,1,0,0,0,0,1,1,0,0,High,2,140000.0,Data Engineer,Piper Companies
0,1,3,8,0,6.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,Mid,1,97000.0,Bacteriology Scientist II,Piper Companies
1,1,1,8,0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,Mid,1,94350.0,"Supervisor, Membership Data Integrity",Centene Corporation
1,1,3,8,0,8.0,1.0,0.1111,0,1,0,0,0,0,1,0,0,0,High,2,150000.0,Lead Development and Analytics Engineer,Piper Companies
0,1,1,8,0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,79040.0,Quality Control Microbiology Analyst,Piper Companies
0,1,3,8,0,44.0,3.0,0.0667,0,0,0,0,0,0,1,0,0,1,Mid,1,101700.0,Business Strategy Analyst (Payments),Discover Financial Services
0,1,3,5,0,16.0,2.0,0.1176,0,0,1,0,0,0,0,0,0,0,High,2,120750.0,Senior Financial Analyst,Sempra Infrastructure
0,1,3,8,0,7.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,High,2,122500.0,Sr. Cyber Security Analyst - Threat Hunter,Piper Companies
1,1,1,8,0,18.0,4.0,0.2105,0,0,0,0,0,0,0,0,0,0,Mid,1,75550.0,Business Process Analyst II,Centene Corporation
1,1,1,8,0,6.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,High,2,130000.0,Cyber Security Analyst II,Piper Companies
0,1,1,2,0,30.0,4.0,0.129,1,1,1,0,0,0,1,0,0,0,High,2,135000.0,Data Engineer,Piper Companies
0,1,3,5,0,11.0,2.0,0.1667,0,0,1,0,0,0,0,0,0,0,High,2,120750.0,Senior Financial Analyst,Sempra Infrastructure
0,1,1,8,0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,83200.0,QC Analyst (Micro),Piper Companies
1,1,1,4,0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,High,2,184350.0,"Senior Director, Reporting & Business Analytics",Centene Corporation
0,1,1,3,0,4.0,0.0,0.0,1,0,1,0,0,1,1,0,0,1,High,2,177000.0,Senior Data Scientist 3 - Nonproliferation,Pacific Northwest National Laboratory
0,1,3,8,0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Mid,1,83200.0,"Loyola Medicine - Medical Lab Scientist Virtual Hiring Event, Wednesday, April 24th 2024",Trinity Health
1,1,3,8,0,4.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,High,2,162000.0,Data Architect,Live Nation Entertainment
